baseline_trainable_loss,baseline_trainable_lrap,baseline_trainable_ndcg,baseline_fixed_loss,baseline_fixed_lrap,baseline_fixed_ndcg,infused_trainable_loss,infused_trainable_lrap,infused_trainable_ndcg,infused_fixed_loss,infused_fixed_lrap,infused_fixed_ndcg
1.671046153158589,0.8403448518577273,0.8801952436397713,1.6752242770829426,0.8338458170370951,0.8759975663603032,1.8953438767036144,0.805309431877305,0.8552304117485984,1.902972297095434,0.8016278957784944,0.8520678692688838
1.6791032655044686,0.8388187613029493,0.8785939147181558,1.671076075201894,0.838647409127684,0.8792103009222948,1.9030648270390065,0.8000757430294763,0.8515452565529965,2.0144818842155225,0.7933633779285131,0.845460630922667
1.6068300939936495,0.8524016363730743,0.8911990962242778,1.635947851152379,0.8411866481976688,0.8824896791825303,1.8020217884251999,0.8192164077240585,0.8648669922970862,1.8733812836618382,0.8151430900338008,0.8621512168487128
1.5728554208902843,0.8591838198408509,0.8961388285944355,1.648720047504605,0.8361614698581042,0.8774707033760779,1.6989006796619923,0.8317838764856563,0.8759250517063102,1.8000017235719084,0.8147536797509998,0.8630929160140388
1.6280266445593772,0.8455403202422482,0.885175300546349,1.6008448007280736,0.8530346241239624,0.8914964882794411,1.9134575906229634,0.798054996631745,0.8488699505377361,1.9422262753539843,0.7965489004809884,0.847606625334941
1.6282521153724245,0.8444301466297174,0.8844317146452217,1.6212055836624342,0.8446243508741669,0.8840331584586376,1.8359978449702774,0.8222927549930799,0.8674572030949245,1.9933054344848502,0.7989342730878627,0.8496355768338509
1.6028034088437648,0.8575261937120651,0.8951623251477553,1.6219912516712631,0.857209812312026,0.894147652855066,1.8039641405891451,0.8200228395433274,0.8668329192076961,1.9001776762786342,0.7950759481705488,0.8473223074341892
1.586511922496583,0.8590770181557578,0.8966351498330193,1.5238483110722554,0.8765345180388938,0.9100997202235666,1.7726477788753263,0.8183571771559502,0.8665124230319636,1.9660672338223764,0.7983646946819775,0.850122670059355
1.6491837527107271,0.8413008509625527,0.8802033964725993,1.61246145232041,0.85217793186674,0.8893271988199554,1.8638786681220256,0.8153273008233878,0.8627913715040865,1.8735282717856214,0.810672775760099,0.8586845686069005
1.5866932188492475,0.853614634242599,0.891441873015134,1.6339139324401069,0.8297955956395019,0.8735762079040991,1.8503682710582094,0.8014309009475142,0.8517492356693466,1.8580563554436351,0.8097729558724258,0.85876254847408
1.6781332431433027,0.8502949656786739,0.8886859275804289,1.7112480683388116,0.8412607553871391,0.8820163273798273,1.8373889462630637,0.8132293966360324,0.8605744699993095,1.9721751069817932,0.7954762055987034,0.8475228270269097
1.6634432251361306,0.8387158599901261,0.8788061891987639,1.6654881832425685,0.8368017290631196,0.8778051813241025,1.853112048857202,0.8130601832977211,0.8610662354531226,1.9431583840447946,0.804231320776352,0.8534025076961186
1.5932755628880513,0.8567820674548979,0.8948427305715789,1.6547165960713006,0.8402359884924263,0.8821586720238237,1.8372794625073543,0.8107487385662959,0.8600115131531055,1.8989995252420975,0.8077803545639619,0.8585240833064448
1.5700598637945151,0.860090449537559,0.895900738245538,1.6717312407595917,0.8460095984206057,0.8850307043269074,1.8529808833363741,0.8116477869431006,0.8604574161507665,1.8030288357591424,0.8144911434063808,0.8618255623611397
1.6077024486443516,0.8471450704797215,0.8869370109521678,1.5690864426895272,0.86092942977032,0.8968944721803076,2.073537020212591,0.7818370909065417,0.8352753525476297,1.8564543775222844,0.8066141361960453,0.8559495923484176
